id,name,now_cost,position,team,transfers_in,expected_goals,red_cards,form_rank,transfers_out_event,ict_index,chance_of_playing_this_round,starts,creativity,expected_assists,ict_index_rank,cost_change_event,expected_goals_conceded_per_90,in_dreamteam,expected_goals_conceded,expected_goals_per_90,selected_by_percent,transfers_out,clean_sheets_per_90,cost_change_start_fall,ict_index_rank_type,dreamteam_count,transfers_in_event,own_goals,goals_conceded_per_90,corners_and_indirect_freekicks_order,goals_scored,influence_rank,cost_change_start,threat_rank,selected_rank_type,news_added,event_points,ep_this,status,value_season,expected_goal_involvements,starts_per_90,bonus,threat,points_per_game_rank,cost_change_event_fall,yellow_cards,web_name,direct_freekicks_order,saves,news,penalties_saved,creativity_rank_type,points_per_game,total_points,creativity_rank,bps,value_form,now_cost_rank,expected_goal_involvements_per_90,penalties_order,saves_per_90,now_cost_rank_type,goals_conceded,expected_assists_per_90,form,points_per_game_rank_type,ep_next,clean_sheets,assists,selected_rank,influence,influence_rank_type,threat_rank_type,minutes,penalties_missed,form_rank_type,chance_of_playing_next_round
71,Gavin Kilkenny,43,MID,Bournemouth,8269,0.00,0,581,10,0.0,0.0,0,0.0,0.00,685,0,0.0,False,0.00,0.0,0.1,12233,0.0,2,254,0,0,0,0.0,,0,682,-2,645,169,2024-02-04T18:43:28.161754Z,0,0.0,u,0.0,0.00,0.0,0,0.0,697,0,0,Kilkenny,,0,Season-long loan to Fleetwood Town,0,255,0.0,0,674,0,0.0,648,0.0,,0.0,361,0,0.0,0.0,263,0.0,0,0,507,0.0,253,241,0,0,195,0.0
72,Justin Kluivert,46,MID,Bournemouth,228547,5.61,0,38,2590,123.8,,24,269.2,1.53,99,0,1.45,False,28.77,0.28,0.8,195120,0.5,4,66,1,1302,0,1.06,,7,198,-4,44,66,,2,3.5,a,20.9,7.14,1.21,2,605.0,128,0,5,Kluivert,4.0,0,,0,97,3.2,96,144,226,1.0,343,0.36,,0.0,221,21,0.08,4.5,58,4.5,10,1,217,361.4,82,26,1786,0,19,
73,Jamal Lowe,49,MID,Bournemouth,81,0.00,0,787,0,0.0,0.0,0,0.0,0.00,825,0,0.0,False,0.00,0.0,0.0,1292,0.0,1,348,0,0,0,0.0,,0,824,-1,815,281,2023-09-02T08:49:08.357551Z,0,0.0,u,0.0,0.00,0.0,0,0.0,825,0,0,Lowe,,0,Season-long loan to  Swansea City,0,347,0.0,0,821,0,0.0,229,0.0,,0.0,144,0,0.0,0.0,348,0.0,0,0,725,0.0,348,345,0,0,326,0.0
74,Emiliano Marcondes,43,MID,Bournemouth,9461,0.00,0,564,13,0.0,0.0,0,0.0,0.00,678,0,0.0,False,0.00,0.0,0.0,10879,0.0,2,251,0,0,0,0.0,,0,675,-2,636,213,2024-01-24T07:58:53.768805Z,0,0.0,u,0.0,0.00,0.0,0,0.0,690,0,0,Marcondes,,0,On loan to Hibernian until the end of the season,0,252,0.0,0,666,0,0.0,622,0.0,,0.0,354,0,0.0,0.0,260,0.0,0,0,599,0.0,250,238,0,0,190,0.0
75,Chris Mepham,43,DEF,Bournemouth,10053,0.09,0,576,49,21.0,0.0,6,40.0,0.17,401,0,1.52,False,10.34,0.01,0.1,14160,0.15,2,141,0,2,0,2.35,,0,355,-2,395,192,2024-04-03T07:00:08.621178Z,0,0.0,i,3.7,0.26,0.88,0,27.0,387,0,2,Mepham,,0,Illness - Unknown return date,0,136,1.6,16,385,113,0.0,640,0.03,,0.0,142,16,0.02,0.0,135,0.0,1,1,490,142.6,135,139,613,0,241,0.0
76,Kieffer Moore,46,FWD,Bournemouth,20322,1.44,0,752,28,14.1,0.0,0,27.9,0.33,428,0,2.03,False,2.26,1.3,0.2,53732,0.0,4,53,0,0,0,1.8,,1,456,-4,300,55,2024-02-04T18:58:33.142579Z,0,0.0,u,3.0,1.77,0.0,2,81.0,355,0,0,Moore,,0,Season-long loan to Ipswich Town,0,55,1.8,14,413,38,0.0,337,1.6,,0.0,64,2,0.3,0.0,45,0.0,0,0,368,37.4,51,53,100,0,91,0.0
77,Norberto Murara Neto,47,GKP,Bournemouth,1163864,0.00,0,283,18128,84.5,100.0,31,0.0,0.01,188,0,1.57,False,48.67,0.0,5.5,700844,0.23,-2,11,2,644,0,1.71,,0,25,2,803,13,2023-10-27T13:30:07.907911Z,0,-0.2,a,23.0,0.01,1.0,14,0.0,86,0,5,Neto,,109,,1,94,3.5,108,812,576,0.2,306,0.0,,3.52,13,53,0.0,0.8,11,0.8,7,0,69,845.2,11,87,2790,0,23,100.0
78,Dango Ouattara,47,MID,Bournemouth,4110,2.36,0,142,33,79.1,100.0,11,229.8,1.03,199,0,1.61,False,19.96,0.19,0.0,7327,0.32,3,102,1,31,0,1.93,,1,256,-3,129,225,2023-12-30T22:30:09.287875Z,2,1.3,a,11.3,3.39,0.89,3,279.0,337,0,2,O.Dango,,0,,0,110,1.9,53,172,201,0.5,326,0.27,,0.0,211,24,0.08,2.3,143,2.3,4,2,619,279.8,106,83,1117,0,67,100.0
79,Ben Pearson,45,MID,Bournemouth,0,0.00,0,638,0,0.0,0.0,0,0.0,0.00,724,0,0.0,False,0.00,0.0,0.0,111,0.0,0,278,0,0,0,0.0,,0,721,0,695,364,2023-07-11T08:58:20.803049Z,0,0.0,u,0.0,0.00,0.0,0,0.0,732,0,0,Pearson,,0,Permanent transfer to Stoke City,0,277,0.0,0,715,0,0.0,361,0.0,,0.0,224,0,0.0,0.0,284,0.0,0,0,847,0.0,277,268,0,0,226,0.0
80,Darren Randolph,39,GKP,Bournemouth,10546,0.00,0,413,73,0.0,100.0,0,0.0,0.00,553,0,0.0,False,0.00,0.0,0.4,33099,0.0,1,46,0,21,0,0.0,,0,549,-1,491,36,2023-10-28T18:00:07.926322Z,0,-1.0,a,0.0,0.00,0.0,0,0.0,565,0,0,Randolph,,0,,0,24,0.0,0,530,0,0.0,802,0.0,,0.0,70,0,0.0,0.0,46,0.0,0,0,275,0.0,46,11,0,0,34,100.0
81,Joe Rothwell,48,MID,Bournemouth,836,0.06,0,773,3,11.6,0.0,3,63.9,0.22,446,0,2.66,False,11.24,0.01,0.0,2059,0.0,2,200,0,0,0,2.84,,0,447,-2,455,255,2024-01-17T09:57:46.390612Z,0,0.0,u,2.7,0.28,0.71,0,5.0,438,0,0,Rothwell,,0,On loan to Southampton until the end of the season,0,187,1.2,13,349,54,0.0,278,0.06,,0.0,180,12,0.05,0.0,198,0.0,0,0,666,45.8,194,223,380,0,316,0.0
82,Antoine Semenyo,45,FWD,Bournemouth,1047461,4.42,0,117,3448,153.5,100.0,23,368.9,1.82,59,0,1.5,False,31.98,0.21,2.1,958036,0.38,0,13,1,1820,0,1.36,,8,122,0,34,23,2024-04-28T22:00:08.900250Z,2,1.7,a,23.1,6.23,1.08,14,675.0,103,0,5,Semenyo,,0,,0,9,3.4,104,98,355,0.6,410,0.3,,0.0,74,29,0.09,2.7,21,2.7,8,4,133,490.0,14,15,1919,0,18,100.0
83,Marcos Senesi,44,DEF,Bournemouth,1186699,1.87,0,29,3869,103.4,100.0,24,234.1,1.99,133,0,1.68,False,38.67,0.08,2.5,954628,0.26,1,27,3,5568,0,1.74,,4,52,-1,221,50,2024-03-03T20:30:08.710919Z,1,3.8,a,22.3,3.86,1.05,12,139.0,102,0,11,Senesi,,0,,0,36,3.4,98,167,438,1.1,554,0.17,,0.0,105,40,0.09,4.8,20,4.8,6,4,122,657.2,15,57,2066,0,7,100.0
84,Adam Smith,44,DEF,Bournemouth,131862,0.05,0,126,1432,65.2,100.0,24,294.2,1.49,236,0,1.4,False,32.24,0.0,0.6,76770,0.3,1,69,1,213,0,1.44,,0,218,-1,396,92,2024-01-22T01:00:09.769539Z,0,1.5,a,16.8,1.54,1.04,4,27.0,182,0,6,Smith,,0,,0,24,2.7,74,131,358,0.6,520,0.06,,0.0,84,33,0.06,2.5,47,2.5,7,3,232,329.6,82,140,2068,0,36,100.0
